SampleName,CellType,ImmGenLab,Lineage,CellFamily,Organ,SortingMarkers,InputCellNumber,PF.reads,%chrM.mapped,Paired.read.after.removing.PCR.duplication,%fragment.1Kb_TSS,Replicate.cor
NK.27-11b+.Sp#1,NK.27-11b+.Sp,Lanier,ILC,NK Cell,Spleen,"NK1.1+DX5+CD27-CD11b+PI-Dump(CD3,CD19,CD127,CD51,CD49a)-",10000,21263412,4.02,6049361,11.8,0.957
NK.27-11b+.Sp#2,NK.27-11b+.Sp,Lanier,ILC,NK Cell,Spleen,"NK1.1+DX5+CD27-CD11b+PI-Dump(CD3,CD19,CD127,CD51,CD49a)-",10000,21220704,5.63,5424551,18.33,0.957
ILC2.SI#1,ILC2.SI,Colonna,ILC,ILC,small intestine lamina propria,"CD45+TCRb-CD5-CD127+KLRG1+Sca1+7AAD-Dump(CD3,CD19,NK1.1)-",10000,28877818,1.7,8383411,7.19,0.909
ILC2.SI#2,ILC2.SI,Colonna,ILC,ILC,small intestine lamina propria,"CD45+TCRb-CD5-CD127+KLRG1+Sca1+7AAD-Dump(CD3,CD19,NK1.1)-",10000,24928628,2.15,8014685,9.13,0.909
ILC3.NKp46-CCR6-.SI#1,ILC3.NKp46-CCR6-.SI,Colonna,ILC,ILC,small intestine lamina propria,"CD45loThy1+CCR6-NKp46-Dump(CD3,CD19,KLRG,TCRb,CD5)-7AAD-",10000,26805230,4.07,7528287,9.93,0.946
ILC3.NKp46-CCR6-.SI#2,ILC3.NKp46-CCR6-.SI,Colonna,ILC,ILC,small intestine lamina propria,"CD45loThy1+CCR6-NKp46-Dump(CD3,CD19,KLRG,TCRb,CD5)-7AAD-",10000,23502142,4.95,4690558,15.71,0.946
ILC3.NKp46+.SI#1,ILC3.NKp46+.SI,Colonna,ILC,ILC,small intestine lamina propria,"CD45loThy1+CCR6-NKp46+Dump(CD3,CD19,KLRG,TCRb,CD5)-7AAD-",10000,26899964,4.38,6537893,9.75,0.932
ILC3.NKp46+.SI#2,ILC3.NKp46+.SI,Colonna,ILC,ILC,small intestine lamina propria,"CD45loThy1+CCR6-NKp46+Dump(CD3,CD19,KLRG,TCRb,CD5)-7AAD-",10000,25771176,9.75,3106657,17.08,0.932
ILC3.CCR6+.SI#1,ILC3.CCR6+.SI,Colonna,ILC,ILC,small intestine lamina propria,"CD45loThy1+CCR6+NKp46-Dump(CD3,CD19,KLRG,TCRb,CD5)-7AAD-",10000,25700964,4.29,6756910,12.58,0.961
ILC3.CCR6+.SI#2,ILC3.CCR6+.SI,Colonna,ILC,ILC,small intestine lamina propria,"CD45loThy1+CCR6+NKp46-Dump(CD3,CD19,KLRG,TCRb,CD5)-7AAD-",10000,22210448,6.31,4350517,21.4,0.961
MPP3.48+.BM#1,MPP3.48+.BM,Wagers,Stem&Prog,Stem&Prog Cell,Bone Marrow,Lin-Sca1+ckit+CD135-CD150-CD48+,10000,22469306,3.91,7429716,9.25,NA
GN.BM#1,GN.BM,Monach,myeloid,BM Neutrophil,Bone Marrow,CD11b+Ly6G+PI-,10000,27428998,0.2,9356891,7.09,0.935
GN.BM#2,GN.BM,Monach,myeloid,BM Neutrophil,Bone Marrow,CD11b+Ly6G+PI-,10000,24221998,0.24,8422226,8.88,0.935
GN.Sp#1,GN.Sp,Monach,myeloid,Spleen Neutrophil,Spleen,"Ly6G+CD11c-PI-Dump(CD45R,TCRb)-",10000,23894256,0.45,8295815,9.71,0.95
GN.Sp#2,GN.Sp,Monach,myeloid,Spleen Neutrophil,Spleen,"Ly6G+CD11c-PI-Dump(CD45R,TCRb)-",10000,23074356,0.46,7813175,10.19,0.95
GN.Thio.PC#1,GN.Thio.PC,Monach,myeloid,Thio-induced Peritoneal Neutrophil,Peritoneal Cavity,CD11b+Ly6G+PI-,10000,27634520,0.1,10079292,6.33,0.955
GN.Thio.PC#2,GN.Thio.PC,Monach,myeloid,Thio-induced Peritoneal Neutrophil,Peritoneal Cavity,CD11b+Ly6G+PI-,10000,49046874,0.44,15635557,18.61,0.955
GN.Thio.PC#3,GN.Thio.PC,Monach,myeloid,Thio-induced Peritoneal Neutrophil,Peritoneal Cavity,CD11b+Ly6G+PI-,10000,44833634,0.6,14270390,23.65,0.955
Mo.6C+II-.Bl#1,Mo.6C+II-.Bl,Randolph,monocyte,Ly6Chi blood monocytes,Peripheral blood,"CD115+Ly6ChiCD11b+PI-Dump(CD45R,CD3,Ly6G)-",10000,22240950,2.64,7389700,13.54,0.869
Mo.6C+II-.Bl#2,Mo.6C+II-.Bl,Randolph,monocyte,Ly6Chi blood monocytes,Peripheral blood,"CD115+Ly6ChiCD11b+PI-Dump(CD45R,CD3,Ly6G)-",10000,22074158,2.72,6470895,6.75,0.869
Mo.6C+II-.Bl#3,Mo.6C+II-.Bl,Randolph,monocyte,Ly6Chi blood monocytes,Peripheral blood,"CD115+Ly6ChiCD11b+PI-Dump(CD45R,CD3,Ly6G)-",10000,21908156,3.25,6243865,12.85,0.869
Mo.6C-II-.Bl#1,Mo.6C-II-.Bl,Randolph,monocyte,Ly6Clo blood monocytes,Peripheral blood,"CD115+Ly6CloCD11b+PI-Dump(CD45R,CD3,Ly6G)-",10000,26341180,1.83,8988866,16.91,0.932
Mo.6C-II-.Bl#2,Mo.6C-II-.Bl,Randolph,monocyte,Ly6Clo blood monocytes,Peripheral blood,"CD115+Ly6CloCD11b+PI-Dump(CD45R,CD3,Ly6G)-",10000,27084828,2.6,8133836,11.09,0.932
Mo.6C-II-.Bl#3,Mo.6C-II-.Bl,Randolph,monocyte,Ly6Clo blood monocytes,Peripheral blood,"CD115+Ly6CloCD11b+PI-Dump(CD45R,CD3,Ly6G)-",10000,22488790,0.64,7309288,6.47,0.932
MF.pIC.Alv.Lu#1,MF.pIC.Alv.Lu,Merad,myeloid,Macrophage,lung,CD45+SiglecF+CD11c+PI-,10000,22982460,12.89,5626968,21.18,0.914
MF.pIC.Alv.Lu#2,MF.pIC.Alv.Lu,Merad,myeloid,Macrophage,lung,CD45+SiglecF+CD11c+PI-,10000,22030516,6.83,6763092,13.96,0.914
MF.226+II+480lo.PC#1,MF.226+II+480lo.PC,Randolph,myeloid,small peritoneal macs,Peritoneal Cavity,CD115+CD11b+ICAM2loMHCII+CD226+,10000,25559064,3.14,8962472,17.73,0.932
MF.226+II+480lo.PC#2,MF.226+II+480lo.PC,Randolph,myeloid,small peritoneal macs,Peritoneal Cavity,CD115+CD11b+ICAM2loMHCII+CD226+,10000,20591392,2.02,6841995,20.41,0.932
MF.ICAM+480hi.PC#1,MF.ICAM+480hi.PC,Randolph,myeloid,large peritoneal macs,Peritoneal Cavity,CD115+CD11b+F4/80hiICAM2+MHCIIlo,10000,30407732,2.38,10203986,13.13,0.946
MF.ICAM+480hi.PC#2,MF.ICAM+480hi.PC,Randolph,myeloid,large peritoneal macs,Peritoneal Cavity,CD115+CD11b+F4/80hiICAM2+MHCIIlo,10000,22541818,1.63,7242435,16.89,0.946
MF.ICAM+480hi.PC#3,MF.ICAM+480hi.PC,Randolph,myeloid,large peritoneal macs,Peritoneal Cavity,CD115+CD11b+F4/80hiICAM2+MHCIIlo,10000,19405690,0.85,6293856,12,0.946
MF.ICAM+480hi.PC#4,MF.ICAM+480hi.PC,Randolph,myeloid,large peritoneal macs,Peritoneal Cavity,CD115+CD11b+F4/80hiICAM2+MHCIIlo,10000,20126140,1.25,6943696,14.43,0.946
MF.RP.Sp#1,MF.RP.Sp,Randolph,myeloid,spleen red pulp macs,Spleen,"CD45+MerTK+CD64+CD11bloF4/80hiPI-Dump(CD19,Ly6G,CD115)-",10000,25398370,2.14,9093829,16.81,0.954
MF.RP.Sp#2,MF.RP.Sp,Randolph,myeloid,spleen red pulp macs,Spleen,"CD45+MerTK+CD64+CD11bloF4/80hiPI-Dump(CD19,Ly6G,CD115)-",10000,16965050,1.17,6183969,12.86,0.954
MF.LP.SI#1,MF.LP.SI,Merad,myeloid,Macrophage,Small intestine,CD45+MHCII+CD11c+CD11b+CD64+PI-,10000,22236184,9.4,5687968,20.78,0.968
MF.LP.SI#2,MF.LP.SI,Merad,myeloid,Macrophage,Small intestine,CD45+MHCII+CD11c+CD11b+CD64+PI-,10000,18970676,11.11,4945520,24.21,0.968
MF.Alv.Lu#1,MF.Alv.Lu,Merad,myeloid,Macrophage,lung,CD45+SiglecF+CD11c+PI-,10000,21529244,11.33,5320097,21.48,0.952
MF.Alv.Lu#2,MF.Alv.Lu,Merad,myeloid,Macrophage,lung,CD45+SiglecF+CD11c+PI-,10000,21041400,13.57,5734164,18.73,0.952
MF.microglia.CNS#1,MF.microglia.CNS,Randolph,myeloid,Microglia,Brain,"CD45loCD64+CD11b+F4/80loCD206-PI-Dump(CD19,CD3,Ly6G)-",10000,22395098,0.72,6782705,9.56,0.889
MF.microglia.CNS#2,MF.microglia.CNS,Randolph,myeloid,Microglia,Brain,"CD45loCD64+CD11b+F4/80loCD206-PI-Dump(CD19,CD3,Ly6G)-",10000,25175778,0.42,7663081,5.31,0.889
MF.PC#1,MF.PC,CBDM,myeloid,PerC macrophage,Peritoneal Cavity,F4/80+ICAM2+PI-,10000,24358460,1.41,8904536,18.97,0.96
MF.PC#2,MF.PC,CBDM,myeloid,PerC macrophage,Peritoneal Cavity,F4/80+ICAM2+PI-,10000,21569078,1.53,7755869,12.79,0.96
MF.Fem.PC#1,MF.Fem.PC,Shay,myeloid,PerC macrophage,Peritoneal Cavity,F4/80+ICAM2+DAPI-,10000,24490660,0.92,7195781,8.68,0.895
MF.Fem.PC#2,MF.Fem.PC,Shay,myeloid,PerC macrophage,Peritoneal Cavity,F4/80+ICAM2+DAPI-,10000,21575044,1.63,7591315,18.38,0.895
DC.4+.Sp#1,DC.4+.Sp,Merad,DC,Dendritic Cell,spleen,"CD45+MHCII+CD11c+CD8-CD4+Lin(CD3,CD19)-PI-",10000,25872488,5.37,8071175,21.15,0.927
DC.4+.Sp#2,DC.4+.Sp,Merad,DC,Dendritic Cell,spleen,"CD45+MHCII+CD11c+CD8-CD4+Lin(CD3,CD19)-PI-",10000,26818172,3.67,7690814,14.82,0.927
DC.8+.Sp#1,DC.8+.Sp,Merad,DC,Dendritic Cell,spleen,"CD45+MHCII+CD11c+CD8+CD4-Lin(CD3,CD19)-PI-",10000,27139348,2.42,8381023,11.36,0.907
DC.8+.Sp#2,DC.8+.Sp,Merad,DC,Dendritic Cell,spleen,"CD45+MHCII+CD11c+CD8+CD4-Lin(CD3,CD19)-PI-",10000,25056264,2.23,7729151,12.87,0.907
DC.pDC.Sp#1,DC.pDC.Sp,Merad,DC,Dendritic Cell,spleen,"CD45R+PDCA1+CD11c+SiglecH+Lin(CD3,CD19)-PI-",10000,20461830,4.23,5998172,9.18,0.897
DC.pDC.Sp#2,DC.pDC.Sp,Merad,DC,Dendritic Cell,spleen,"CD45R+PDCA1+CD11c+SiglecH+Lin(CD3,CD19)-PI-",10000,42747676,5.58,11574362,9.33,0.897
DC.103+11b+.SI#1,DC.103+11b+.SI,Merad,DC,Dendritic Cell,Small intestine,CD45+MHCII+CD11c+CD64-CD103+CD11b+PI?,10000,20092432,5.05,6195469,20.87,0.953
DC.103+11b+.SI#2,DC.103+11b+.SI,Merad,DC,Dendritic Cell,Small intestine,CD45+MHCII+CD11c+CD64-CD103+CD11b+PI?,10000,20272406,2.51,7129371,15.81,0.953
DC.103+11b-.SI#1,DC.103+11b-.SI,Merad,DC,Dendritic Cell,Small intestine,CD45+MHCII+CD11c+CD64-CD103+CD11b?PI?,9000,21967900,5.49,5818161,18.06,0.951
DC.103+11b-.SI#2,DC.103+11b-.SI,Merad,DC,Dendritic Cell,Small intestine,CD45+MHCII+CD11c+CD64-CD103+CD11b?PI?,8500,21761150,4.02,6108525,17.83,0.951
FRC.CD140a+.Madcam-.CD35-.SLN#1,FRC.CD140a+.Madcam-.CD35-.SLN,Turley,stroma,Fibroblastic reticular cell,skin draining Lymph Node,"CalceinBlue+PDPN+CD31-CD21/35-Madcam1-LiveDead-Lin(CD45,Ter119,Epcam)-",10000,25768696,6.16,8039453,7.65,0.897
FRC.CD140a+.Madcam-.CD35-.SLN#2,FRC.CD140a+.Madcam-.CD35-.SLN,Turley,stroma,Fibroblastic reticular cell,skin draining Lymph Node,"CalceinBlue+PDPN+CD31-CD21/35-Madcam1-LiveDead-Lin(CD45,Ter119,Epcam)-",10000,66673554,6.87,15351027,7.4,0.897
IAP.SLN#1,IAP.SLN,Turley,stroma,Pericyte,skin draining Lymph Node,"CalceinBlue+PDPN-CD31-LiveDead-Lin(CD45,Ter119,Epcam)-",10000,24885398,3.96,8372723,7,0.81
IAP.SLN#2,IAP.SLN,Turley,stroma,Pericyte,skin draining Lymph Node,"CalceinBlue+PDPN-CD31-LiveDead-Lin(CD45,Ter119,Epcam)-",10000,22155144,1.31,7921907,16.84,0.81
BEC.SLN#1,BEC.SLN,Turley,stroma,Blood endothelial cell,skin draining Lymph Node,"CalceinBlue+PDPN-CD31+LiveDead-Lin(CD45,Ter119,Epcam)-",10000,24610318,4.14,7814039,8.67,0.846
BEC.SLN#2,BEC.SLN,Turley,stroma,Blood endothelial cell,skin draining Lymph Node,"CalceinBlue+PDPN-CD31+LiveDead-Lin(CD45,Ter119,Epcam)-",10000,48817892,5.28,13919088,8.22,0.846
LEC.SLN#1,LEC.SLN,Turley,stroma,Lymphatic endothelial cell,skin draining Lymph Node,"CalceinBlue+PDPN+CD31+LiveDead-Lin(CD45,Ter119,Epcam)-",10000,26209960,9.75,6892247,6.58,0.887
LEC.SLN#2,LEC.SLN,Turley,stroma,Lymphatic endothelial cell,skin draining Lymph Node,"CalceinBlue+PDPN+CD31+LiveDead-Lin(CD45,Ter119,Epcam)-",10000,34577292,4,9811569,4.03,0.887
Ep.MEChi.Th#1,Ep.MEChi.Th,CBDM,stroma,Thymus mTEC,Thyums,CD45-Ly51loMHCIIhiEPCAMhiDAPI-,10000,18331518,10.26,5783345,12.72,0.915
Ep.MEChi.Th#2,Ep.MEChi.Th,CBDM,stroma,Thymus mTEC,Thyums,CD45-Ly51loMHCIIhiEPCAMhiDAPI-,10000,20315058,11.69,6244656,16.75,0.915
